A^B^C^D^E^F^G^H^I^J^K^L
271^0^1^Cairns, Mr. Alexander^male^^0^0^S^113798^31.0^
610^1^1^Shutes, Miss. Elizabeth W^female^40.0^0^0^S^PC 17582^153.4625^C125
454^1^1^Goldenberg, Mr. Samuel L^male^49.0^1^0^C^17453^89.1042^C92
686^0^2^Laroche, Mr. Joseph Philippe Lemercier^male^25.0^1^2^C^SC/Paris 2123^41.5792^
200^0^2^"Yrois, Miss. Henriette (""Mrs Harbeck"")"^female^24.0^0^0^S^248747^13.0^
210^1^1^Blank, Mr. Henry^male^40.0^0^0^C^112277^31.0^A31
678^1^3^Turja, Miss. Anna Sofia^female^18.0^0^0^S^4138^9.8417^
830^1^1^Stone, Mrs. George Nelson (Martha Evelyn)^female^62.0^0^0^^113572^80.0^B28
443^0^3^Petterson, Mr. Johan Emil^male^25.0^1^0^S^347076^7.775^
1^0^3^Braund, Mr. Owen Harris^male^22.0^1^0^S^A/5 21171^7.25^
687^0^3^Panula, Mr. Jaako Arnold^male^14.0^4^1^S^3101295^39.6875^
828^1^2^Mallet, Master. Andre^male^1.0^0^2^C^S.C./PARIS 2079^37.0042^
246^0^1^Minahan, Dr. William Edward^male^44.0^2^0^Q^19928^90.0^C78
283^0^3^de Pelsmaeker, Mr. Alfons^male^16.0^0^0^S^345778^9.5^
190^0^3^Turcin, Mr. Stjepan^male^36.0^0^0^S^349247^7.8958^
673^0^2^Mitchell, Mr. Henry Michael^male^70.0^0^0^S^C.A. 24580^10.5^
303^0^3^Johnson, Mr. William Cahoone Jr^male^19.0^0^0^S^LINE^0.0^
208^1^3^Albimona, Mr. Nassef Cassem^male^26.0^0^0^C^2699^18.7875^
328^1^2^Ball, Mrs. (Ada E Hall)^female^36.0^0^0^S^28551^13.0^D
11^1^3^Sandstrom, Miss. Marguerite Rut^female^4.0^1^1^S^PP 9549^16.7^G6
39^0^3^Vander Planke, Miss. Augusta Maria^female^18.0^2^0^S^345764^18.0^
134^1^2^Weisz, Mrs. Leopold (Mathilde Francoise Pede)^female^29.0^1^0^S^228414^26.0^
376^1^1^Meyer, Mrs. Edgar Joseph (Leila Saks)^female^^1^0^C^PC 17604^82.1708^
714^0^3^Larsson, Mr. August Viktor^male^29.0^0^0^S^7545^9.4833^
543^0^3^Andersson, Miss. Sigrid Elisabeth^female^11.0^4^2^S^347082^31.275^
155^0^3^Olsen, Mr. Ole Martin^male^^0^0^S^Fa 265302^7.3125^
142^1^3^Nysten, Miss. Anna Sofia^female^22.0^0^0^S^347081^7.75^
46^0^3^Rogers, Mr. William John^male^^0^0^S^S.C./A.4. 23567^8.05^
723^0^2^Gillespie, Mr. William Henry^male^34.0^0^0^S^12233^13.0^
238^1^2^"Collyer, Miss. Marjorie ""Lottie"""^female^8.0^0^2^S^C.A. 31921^26.25^
668^0^3^Rommetvedt, Mr. Knud Paust^male^^0^0^S^312993^7.775^
512^0^3^Webber, Mr. James^male^^0^0^S^SOTON/OQ 3101316^8.05^
630^0^3^O'Connell, Mr. Patrick D^male^^0^0^Q^334912^7.7333^
367^1^1^Warren, Mrs. Frank Manley (Anna Sophia Atkinson)^female^60.0^1^0^C^110813^75.25^D37
313^0^2^Lahtinen, Mrs. William (Anna Sylfven)^female^26.0^1^1^S^250651^26.0^
702^1^1^Silverthorne, Mr. Spencer Victor^male^35.0^0^0^S^PC 17475^26.2875^E24
789^1^3^Dean, Master. Bertram Vere^male^1.0^1^2^S^C.A. 2315^20.575^
498^0^3^Shellard, Mr. Frederick William^male^^0^0^S^C.A. 6212^15.1^
426^0^3^Wiseman, Mr. Phillippe^male^^0^0^S^A/4. 34244^7.25^
411^0^3^Sdycoff, Mr. Todor^male^^0^0^S^349222^7.8958^
124^1^2^Webber, Miss. Susan^female^32.5^0^0^S^27267^13.0^E101
162^1^2^"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"^female^40.0^0^0^S^C.A. 33595^15.75^
300^1^1^Baxter, Mrs. James (Helene DeLaudeniere Chaput)^female^50.0^0^1^C^PC 17558^247.5208^B58 B60
135^0^2^Sobey, Mr. Samuel James Hayden^male^25.0^0^0^S^C.A. 29178^13.0^
524^1^1^Hippach, Mrs. Louis Albert (Ida Sophia Fischer)^female^44.0^0^1^C^111361^57.9792^B18
113^0^3^Barton, Mr. David John^male^22.0^0^0^S^324669^8.05^
722^0^3^Jensen, Mr. Svend Lauritz^male^17.0^1^0^S^350048^7.0542^
853^0^3^Boulos, Miss. Nourelain^female^9.0^1^1^C^2678^15.2458^
294^0^3^Haas, Miss. Aloisia^female^24.0^0^0^S^349236^8.85^
457^0^1^Millet, Mr. Francis Davis^male^65.0^0^0^S^13509^26.55^E38
19^0^3^Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)^female^31.0^1^0^S^345763^18.0^
764^1^1^Carter, Mrs. William Ernest (Lucile Polk)^female^36.0^1^2^S^113760^120.0^B96 B98
596^0^3^Van Impe, Mr. Jean Baptiste^male^36.0^1^1^S^345773^24.15^
797^1^1^Leader, Dr. Alice (Farnham)^female^49.0^0^0^S^17465^25.9292^D17
884^0^2^Banfield, Mr. Frederick James^male^28.0^0^0^S^C.A./SOTON 34068^10.5^
131^0^3^Drazenoic, Mr. Jozef^male^33.0^0^0^C^349241^7.8958^
482^0^2^"Frost, Mr. Anthony Wood ""Archie"""^male^^0^0^S^239854^0.0^
763^1^3^Barah, Mr. Hanna Assi^male^20.0^0^0^C^2663^7.2292^
227^1^2^Mellors, Mr. William John^male^19.0^0^0^S^SW/PP 751^10.5^
372^0^3^Wiklund, Mr. Jakob Alfred^male^18.0^1^0^S^3101267^6.4958^
594^0^3^Bourke, Miss. Mary^female^^0^2^Q^364848^7.75^
575^0^3^Rush, Mr. Alfred George John^male^16.0^0^0^S^A/4. 20589^8.05^
197^0^3^Mernagh, Mr. Robert^male^^0^0^Q^368703^7.75^
413^1^1^Minahan, Miss. Daisy E^female^33.0^1^0^Q^19928^90.0^C78
537^0^1^Butt, Major. Archibald Willingham^male^45.0^0^0^S^113050^26.55^B38
832^1^2^Richards, Master. George Sibley^male^0.83^1^1^S^29106^18.75^
792^0^2^Gaskell, Mr. Alfred^male^16.0^0^0^S^239865^26.0^
801^0^2^Ponesell, Mr. Martin^male^34.0^0^0^S^250647^13.0^
368^1^3^Moussa, Mrs. (Mantoura Boulos)^female^^0^0^C^2626^7.2292^
864^0^3^"Sage, Miss. Dorothy Edith ""Dolly"""^female^^8^2^S^CA. 2343^69.55^
647^0^3^Cor, Mr. Liudevit^male^19.0^0^0^S^349231^7.8958^
736^0^3^Williams, Mr. Leslie^male^28.5^0^0^S^54636^16.1^
318^0^2^Moraweck, Dr. Ernest^male^54.0^0^0^S^29011^14.0^
344^0^2^Sedgwick, Mr. Charles Frederick Waddington^male^25.0^0^0^S^244361^13.0^
503^0^3^O'Sullivan, Miss. Bridget Mary^female^^0^0^Q^330909^7.6292^
91^0^3^Christmann, Mr. Emil^male^29.0^0^0^S^343276^8.05^
818^0^2^Mallet, Mr. Albert^male^31.0^1^1^C^S.C./PARIS 2079^37.0042^
795^0^3^Dantcheff, Mr. Ristiu^male^25.0^0^0^S^349203^7.8958^
170^0^3^Ling, Mr. Lee^male^28.0^0^0^S^1601^56.4958^
603^0^1^Harrington, Mr. Charles H^male^^0^0^S^113796^42.4^
81^0^3^Waelens, Mr. Achille^male^22.0^0^0^S^345767^9.0^
351^0^3^Odahl, Mr. Nils Martin^male^23.0^0^0^S^7267^9.225^
309^0^2^Abelson, Mr. Samuel^male^30.0^1^0^C^P/PP 3381^24.0^
15^0^3^Vestrom, Miss. Hulda Amanda Adolfina^female^14.0^0^0^S^350406^7.8542^
638^0^2^Collyer, Mr. Harvey^male^31.0^1^1^S^C.A. 31921^26.25^
685^0^2^Brown, Mr. Thomas William Solomon^male^60.0^1^1^S^29750^39.0^
63^0^1^Harris, Mr. Henry Birkhardt^male^45.0^1^0^S^36973^83.475^C83
617^0^3^Danbom, Mr. Ernst Gilbert^male^34.0^1^1^S^347080^14.4^
515^0^3^Coleff, Mr. Satio^male^24.0^0^0^S^349209^7.4958^
195^1^1^Brown, Mrs. James Joseph (Margaret Tobin)^female^44.0^0^0^C^PC 17610^27.7208^B4
118^0^2^Turpin, Mr. William John Robert^male^29.0^1^0^S^11668^21.0^
622^1^1^Kimball, Mr. Edwin Nelson Jr^male^42.0^1^0^S^11753^52.5542^D19
101^0^3^Petranec, Miss. Matilda^female^28.0^0^0^S^349245^7.8958^
173^1^3^Johnson, Miss. Eleanor Ileen^female^1.0^1^1^S^347742^11.1333^
560^1^3^de Messemaeker, Mrs. Guillaume Joseph (Emma)^female^36.0^1^0^S^345572^17.4^
842^0^2^Mudd, Mr. Thomas Charles^male^16.0^0^0^S^S.O./P.P. 3^10.5^
570^1^3^Jonsson, Mr. Carl^male^32.0^0^0^S^350417^7.8542^
651^0^3^Mitkoff, Mr. Mito^male^^0^0^S^349221^7.8958^
7^0^1^McCarthy, Mr. Timothy J^male^54.0^0^0^S^17463^51.8625^E46
872^1^1^Beckwith, Mrs. Richard Leonard (Sallie Monypeny)^female^47.0^1^1^S^11751^52.5542^D35
491^0^3^Hagland, Mr. Konrad Mathias Reiersen^male^^1^0^S^65304^19.9667^
465^0^3^Maisner, Mr. Simon^male^^0^0^S^A/S 2816^8.05^
146^0^2^Nicholls, Mr. Joseph Charles^male^19.0^1^1^S^C.A. 33112^36.75^
809^0^2^Meyer, Mr. August^male^39.0^0^0^S^248723^13.0^
805^1^3^Hedman, Mr. Oskar Arvid^male^27.0^0^0^S^347089^6.975^
116^0^3^Pekoniemi, Mr. Edvard^male^21.0^0^0^S^STON/O 2. 3101294^7.925^
48^1^3^O'Driscoll, Miss. Bridget^female^^0^0^Q^14311^7.75^
535^0^3^Cacic, Miss. Marija^female^30.0^0^0^S^315084^8.6625^
847^0^3^Sage, Mr. Douglas Bullen^male^^8^2^S^CA. 2343^69.55^
568^0^3^Palsson, Mrs. Nils (Alma Cornelia Berglund)^female^29.0^0^4^S^349909^21.075^
126^1^3^Nicola-Yarred, Master. Elias^male^12.0^1^0^C^2651^11.2417^
370^1^1^Aubart, Mme. Leontine Pauline^female^24.0^0^0^C^PC 17477^69.3^B35
345^0^2^Fox, Mr. Stanley Hubert^male^36.0^0^0^S^229236^13.0^
533^0^3^Elias, Mr. Joseph Jr^male^17.0^1^1^C^2690^7.2292^
375^0^3^Palsson, Miss. Stina Viola^female^3.0^3^1^S^349909^21.075^
204^0^3^Youseff, Mr. Gerious^male^45.5^0^0^C^2628^7.225^
287^1^3^de Mulder, Mr. Theodore^male^30.0^0^0^S^345774^9.5^
688^0^3^Dakic, Mr. Branko^male^19.0^0^0^S^349228^10.1708^
481^0^3^Goodwin, Master. Harold Victor^male^9.0^5^2^S^CA 2144^46.9^
402^0^3^Adams, Mr. John^male^26.0^0^0^S^341826^8.05^
869^0^3^van Melkebeke, Mr. Philemon^male^^0^0^S^345777^9.5^
836^1^1^Compton, Miss. Sara Rebecca^female^39.0^1^1^C^PC 17756^83.1583^E49
186^0^1^Rood, Mr. Hugh Roscoe^male^^0^0^S^113767^50.0^A32
337^0^1^Pears, Mr. Thomas Clinton^male^29.0^1^0^S^113776^66.6^C2
148^0^3^"Ford, Miss. Robina Maggie ""Ruby"""^female^9.0^2^2^S^W./C. 6608^34.375^
272^1^3^Tornquist, Mr. William Henry^male^25.0^0^0^S^LINE^0.0^
841^0^3^Alhomaki, Mr. Ilmari Rudolf^male^20.0^0^0^S^SOTON/O2 3101287^7.925^
604^0^3^Torber, Mr. Ernst William^male^44.0^0^0^S^364511^8.05^
5^0^3^Allen, Mr. William Henry^male^35.0^0^0^S^373450^8.05^
327^0^3^Nysveen, Mr. Johan Hansen^male^61.0^0^0^S^345364^6.2375^
233^0^2^Sjostedt, Mr. Ernst Adolf^male^59.0^0^0^S^237442^13.5^
861^0^3^Hansen, Mr. Claus Peter^male^41.0^2^0^S^350026^14.1083^
516^0^1^Walker, Mr. William Anderson^male^47.0^0^0^S^36967^34.0208^D46
569^0^3^Doharr, Mr. Tannous^male^^0^0^C^2686^7.2292^
848^0^3^Markoff, Mr. Marin^male^35.0^0^0^C^349213^7.8958^
745^1^3^Stranden, Mr. Juho^male^31.0^0^0^S^STON/O 2. 3101288^7.925^
855^0^2^Carter, Mrs. Ernest Courtenay (Lilian Hughes)^female^44.0^1^0^S^244252^26.0^
157^1^3^"Gilnagh, Miss. Katherine ""Katie"""^female^16.0^0^0^Q^35851^7.7333^
50^0^3^Arnold-Franchi, Mrs. Josef (Josefine Franchi)^female^18.0^1^0^S^349237^17.8^
387^0^3^Goodwin, Master. Sidney Leonard^male^1.0^5^2^S^CA 2144^46.9^
527^1^2^Ridsdale, Miss. Lucy^female^50.0^0^0^S^W./C. 14258^10.5^
166^1^3^"Goldsmith, Master. Frank John William ""Frankie"""^male^9.0^0^2^S^363291^20.525^
641^0^3^Jensen, Mr. Hans Peder^male^20.0^0^0^S^350050^7.8542^
13^0^3^Saundercock, Mr. William Henry^male^20.0^0^0^S^A/5. 2151^8.05^
784^0^3^Johnston, Mr. Andrew G^male^^1^2^S^W./C. 6607^23.45^
752^1^3^Moor, Master. Meier^male^6.0^0^1^S^392096^12.475^E121
658^0^3^Bourke, Mrs. John (Catherine)^female^32.0^1^1^Q^364849^15.5^
169^0^1^Baumann, Mr. John D^male^^0^0^S^PC 17318^25.925^
725^1^1^Chambers, Mr. Norman Campbell^male^27.0^1^0^S^113806^53.1^E8
289^1^2^Hosono, Mr. Masabumi^male^42.0^0^0^S^237798^13.0^
447^1^2^Mellinger, Miss. Madeleine Violet^female^13.0^0^1^S^250644^19.5^
740^0^3^Nankoff, Mr. Minko^male^^0^0^S^349218^7.8958^
374^0^1^Ringhini, Mr. Sante^male^22.0^0^0^C^PC 17760^135.6333^
779^0^3^Kilgannon, Mr. Thomas J^male^^0^0^Q^36865^7.7375^
695^0^1^Weir, Col. John^male^60.0^0^0^S^113800^26.55^
307^1^1^Fleming, Miss. Margaret^female^^0^0^C^17421^110.8833^
473^1^2^West, Mrs. Edwy Arthur (Ada Mary Worth)^female^33.0^1^2^S^C.A. 34651^27.75^
885^0^3^Sutehall, Mr. Henry Jr^male^25.0^0^0^S^SOTON/OQ 392076^7.05^
64^0^3^Skoog, Master. Harald^male^4.0^3^2^S^347088^27.9^
824^1^3^Moor, Mrs. (Beila)^female^27.0^0^1^S^392096^12.475^E121
277^0^3^Lindblom, Miss. Augusta Charlotta^female^45.0^0^0^S^347073^7.75^
492^0^3^Windelov, Mr. Einar^male^21.0^0^0^S^SOTON/OQ 3101317^7.25^
833^0^3^Saad, Mr. Amin^male^^0^0^C^2671^7.2292^
550^1^2^Davies, Master. John Morgan Jr^male^8.0^1^1^S^C.A. 33112^36.75^
511^1^3^Daly, Mr. Eugene Patrick^male^29.0^0^0^Q^382651^7.75^
669^0^3^Cook, Mr. Jacob^male^43.0^0^0^S^A/5 3536^8.05^
419^0^2^Matthews, Mr. William John^male^30.0^0^0^S^28228^13.0^
611^0^3^Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)^female^39.0^1^5^S^347082^31.275^
424^0^3^Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)^female^28.0^1^1^S^347080^14.4^
215^0^3^Kiernan, Mr. Philip^male^^1^0^Q^367229^7.75^
633^1^1^Stahelin-Maeglin, Dr. Max^male^32.0^0^0^C^13214^30.5^B50
765^0^3^Eklund, Mr. Hans Linus^male^16.0^0^0^S^347074^7.775^
174^0^3^Sivola, Mr. Antti Wilhelm^male^21.0^0^0^S^STON/O 2. 3101280^7.925^
377^1^3^Landergren, Miss. Aurora Adelia^female^22.0^0^0^S^C 7077^7.25^
412^0^3^Hart, Mr. Henry^male^^0^0^Q^394140^6.8583^
179^0^2^Hale, Mr. Reginald^male^30.0^0^0^S^250653^13.0^
733^0^2^Knight, Mr. Robert J^male^^0^0^S^239855^0.0^
843^1^1^Serepeca, Miss. Augusta^female^30.0^0^0^C^113798^31.0^
108^1^3^Moss, Mr. Albert Johan^male^^0^0^S^312991^7.775^
280^1^3^Abbott, Mrs. Stanton (Rosa Hunt)^female^35.0^1^1^S^C.A. 2673^20.25^
407^0^3^Widegren, Mr. Carl/Charles Peter^male^51.0^0^0^S^347064^7.75^
681^0^3^Peters, Miss. Katie^female^^0^0^Q^330935^8.1375^
643^0^3^Skoog, Miss. Margit Elizabeth^female^2.0^3^2^S^347088^27.9^
777^0^3^Tobin, Mr. Roger^male^^0^0^Q^383121^7.75^F38
140^0^1^Giglio, Mr. Victor^male^24.0^0^0^C^PC 17593^79.2^B86
530^0^2^Hocking, Mr. Richard George^male^23.0^2^1^S^29104^11.5^
382^1^3^"Nakid, Miss. Maria (""Mary"")"^female^1.0^0^2^C^2653^15.7417^
153^0^3^Meo, Mr. Alfonzo^male^55.5^0^0^S^A.5. 11206^8.05^
835^0^3^Allum, Mr. Owen George^male^18.0^0^0^S^2223^8.3^
813^0^2^Slemen, Mr. Richard James^male^35.0^0^0^S^28206^10.5^
544^1^2^Beane, Mr. Edward^male^32.0^1^0^S^2908^26.0^
572^1^1^Appleton, Mrs. Edward Dale (Charlotte Lamson)^female^53.0^2^0^S^11769^51.4792^C101
269^1^1^Graham, Mrs. William Thompson (Edith Junkins)^female^58.0^0^1^S^PC 17582^153.4625^C125
286^0^3^Stankovic, Mr. Ivan^male^33.0^0^0^C^349239^8.6625^
587^0^2^Jarvis, Mr. John Denzil^male^47.0^0^0^S^237565^15.0^
305^0^3^"Williams, Mr. Howard Hugh ""Harry"""^male^^0^0^S^A/5 2466^8.05^
196^1^1^Lurette, Miss. Elise^female^58.0^0^0^C^PC 17569^146.5208^B80
749^0^1^Marvin, Mr. Daniel Warner^male^19.0^1^0^S^113773^53.1^D30
655^0^3^"Hegarty, Miss. Hanora ""Nora"""^female^18.0^0^0^Q^365226^6.75^
656^0^2^Hickman, Mr. Leonard Mark^male^24.0^2^0^S^S.O.C. 14879^73.5^
636^1^2^Davis, Miss. Mary^female^28.0^0^0^S^237668^13.0^
95^0^3^Coxon, Mr. Daniel^male^59.0^0^0^S^364500^7.25^
690^1^1^Madill, Miss. Georgette Alexandra^female^15.0^0^1^S^24160^211.3375^B5
243^0^2^Coleridge, Mr. Reginald Charles^male^29.0^0^0^S^W./C. 14263^10.5^
88^0^3^Slocovski, Mr. Selman Francis^male^^0^0^S^SOTON/OQ 392086^8.05^
509^0^3^Olsen, Mr. Henry Margido^male^28.0^0^0^S^C 4001^22.525^
43^0^3^Kraeff, Mr. Theodor^male^^0^0^C^349253^7.8958^
476^0^1^Clifford, Mr. George Quincy^male^^0^0^S^110465^52.0^A14
105^0^3^Gustafsson, Mr. Anders Vilhelm^male^37.0^2^0^S^3101276^7.925^
74^0^3^Chronopoulos, Mr. Apostolos^male^26.0^1^0^C^2680^14.4542^
181^0^3^Sage, Miss. Constance Gladys^female^^8^2^S^CA. 2343^69.55^
182^0^2^Pernot, Mr. Rene^male^^0^0^C^SC/PARIS 2131^15.05^
331^1^3^McCoy, Miss. Agnes^female^^2^0^Q^367226^23.25^
758^0^2^Bailey, Mr. Percy Andrew^male^18.0^0^0^S^29108^11.5^
615^0^3^Brocklebank, Mr. William Alfred^male^35.0^0^0^S^364512^8.05^
591^0^3^Rintamaki, Mr. Matti^male^35.0^0^0^S^STON/O 2. 3101273^7.125^
90^0^3^Celotti, Mr. Francesco^male^24.0^0^0^S^343275^8.05^
97^0^1^Goldschmidt, Mr. George B^male^71.0^0^0^C^PC 17754^34.6542^A5
494^0^1^Artagaveytia, Mr. Ramon^male^71.0^0^0^C^PC 17609^49.5042^
620^0^2^Gavey, Mr. Lawrence^male^26.0^0^0^S^31028^10.5^
36^0^1^Holverson, Mr. Alexander Oskar^male^42.0^1^0^S^113789^52.0^
24^1^1^Sloper, Mr. William Thompson^male^28.0^0^0^S^113788^35.5^A6
878^0^3^Petroff, Mr. Nedelio^male^19.0^0^0^S^349212^7.8958^
890^1^1^Behr, Mr. Karl Howell^male^26.0^0^0^C^111369^30.0^C148
121^0^2^Hickman, Mr. Stanley George^male^21.0^2^0^S^S.O.C. 14879^73.5^
115^0^3^Attalah, Miss. Malake^female^17.0^0^0^C^2627^14.4583^
838^0^3^Sirota, Mr. Maurice^male^^0^0^S^392092^8.05^
334^0^3^Vander Planke, Mr. Leo Edmondus^male^16.0^2^0^S^345764^18.0^
396^0^3^Johansson, Mr. Erik^male^22.0^0^0^S^350052^7.7958^
362^0^2^del Carlo, Mr. Sebastiano^male^29.0^1^0^C^SC/PARIS 2167^27.7208^
862^0^2^Giles, Mr. Frederick Edward^male^21.0^1^0^S^28134^11.5^
355^0^3^Yousif, Mr. Wazli^male^^0^0^C^2647^7.225^
415^1^3^Sundman, Mr. Johan Julian^male^44.0^0^0^S^STON/O 2. 3101269^7.925^
488^0^1^Kent, Mr. Edward Austin^male^58.0^0^0^C^11771^29.7^B37
106^0^3^Mionoff, Mr. Stoytcho^male^28.0^0^0^S^349207^7.8958^
854^1^1^Lines, Miss. Mary Conover^female^16.0^0^1^S^PC 17592^39.4^D28
422^0^3^Charters, Mr. David^male^21.0^0^0^Q^A/5. 13032^7.7333^
112^0^3^Zabour, Miss. Hileni^female^14.5^1^0^C^2665^14.4542^
589^0^3^Gilinski, Mr. Eliezer^male^22.0^0^0^S^14973^8.05^
371^1^1^Harder, Mr. George Achilles^male^25.0^1^0^C^11765^55.4417^E50
263^0^1^Taussig, Mr. Emil^male^52.0^1^1^S^110413^79.65^E67
67^1^2^Nye, Mrs. (Elizabeth Ramell)^female^29.0^0^0^S^C.A. 29395^10.5^F33
139^0^3^Osen, Mr. Olaf Elon^male^16.0^0^0^S^7534^9.2167^
66^1^3^Moubarek, Master. Gerios^male^^1^1^C^2661^15.2458^
359^1^3^McGovern, Miss. Mary^female^^0^0^Q^330931^7.8792^
800^0^3^Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)^female^30.0^1^1^S^345773^24.15^
602^0^3^Slabenoff, Mr. Petco^male^^0^0^S^349214^7.8958^
273^1^2^Mellinger, Mrs. (Elizabeth Anne Maidment)^female^41.0^0^1^S^250644^19.5^
590^0^3^Murdlin, Mr. Joseph^male^^0^0^S^A./5. 3235^8.05^
278^0^2^"Parkes, Mr. Francis ""Frank"""^male^^0^0^S^239853^0.0^
257^1^1^Thorne, Mrs. Gertrude Maybelle^female^^0^0^C^PC 17585^79.2^
450^1^1^Peuchen, Major. Arthur Godfrey^male^52.0^0^0^S^113786^30.5^C104
192^0^2^Carbines, Mr. William^male^19.0^0^0^S^28424^13.0^
40^1^3^Nicola-Yarred, Miss. Jamila^female^14.0^1^0^C^2651^11.2417^
445^1^3^Johannesen-Bratthammer, Mr. Bernt^male^^0^0^S^65306^8.1125^
672^0^1^Davidson, Mr. Thornton^male^31.0^1^0^S^F.C. 12750^52.0^B71
499^0^1^Allison, Mrs. Hudson J C (Bessie Waldo Daniels)^female^25.0^1^2^S^113781^151.55^C22 C26
266^0^2^Reeves, Mr. David^male^36.0^0^0^S^C.A. 17248^10.5^
321^0^3^Dennis, Mr. Samuel^male^22.0^0^0^S^A/5 21172^7.25^
38^0^3^Cann, Mr. Ernest Charles^male^21.0^0^0^S^A./5. 2152^8.05^
373^0^3^Beavan, Mr. William Thomas^male^19.0^0^0^S^323951^8.05^
827^0^3^Lam, Mr. Len^male^^0^0^S^1601^56.4958^
771^0^3^Lievens, Mr. Rene Aime^male^24.0^0^0^S^345781^9.5^
141^0^3^Boulos, Mrs. Joseph (Sultana)^female^^0^2^C^2678^15.2458^
451^0^2^West, Mr. Edwy Arthur^male^36.0^1^2^S^C.A. 34651^27.75^
623^1^3^Nakid, Mr. Sahid^male^20.0^1^1^C^2653^15.7417^
218^0^2^Jacobsohn, Mr. Sidney Samuel^male^42.0^1^0^S^243847^27.0^
220^0^2^Harris, Mr. Walter^male^30.0^0^0^S^W/C 14208^10.5^
552^0^2^Sharp, Mr. Percival James R^male^27.0^0^0^S^244358^26.0^
865^0^2^Gill, Mr. John William^male^24.0^0^0^S^233866^13.0^
232^0^3^Larsson, Mr. Bengt Edvin^male^29.0^0^0^S^347067^7.775^
444^1^2^Reynaldo, Ms. Encarnacion^female^28.0^0^0^S^230434^13.0^
418^1^2^Silven, Miss. Lyyli Karoliina^female^18.0^0^2^S^250652^13.0^
850^1^1^Goldenberg, Mrs. Samuel L (Edwiga Grabowska)^female^^1^0^C^17453^89.1042^C92
336^0^3^Denkoff, Mr. Mitto^male^^0^0^S^349225^7.8958^
51^0^3^Panula, Master. Juha Niilo^male^7.0^4^1^S^3101295^39.6875^
250^0^2^Carter, Rev. Ernest Courtenay^male^54.0^1^0^S^244252^26.0^
420^0^3^Van Impe, Miss. Catharina^female^10.0^0^2^S^345773^24.15^
403^0^3^Jussila, Miss. Mari Aina^female^21.0^1^0^S^4137^9.825^
829^1^3^McCormack, Mr. Thomas Joseph^male^^0^0^Q^367228^7.75^
291^1^1^"Barber, Miss. Ellen ""Nellie"""^female^26.0^0^0^S^19877^78.85^
774^0^3^Elias, Mr. Dibo^male^^0^0^C^2674^7.225^
165^0^3^Panula, Master. Eino Viljami^male^1.0^4^1^S^3101295^39.6875^
484^1^3^Turkula, Mrs. (Hedwig)^female^63.0^0^0^S^4134^9.5875^
684^0^3^Goodwin, Mr. Charles Edward^male^14.0^5^2^S^CA 2144^46.9^
41^0^3^Ahlin, Mrs. Johan (Johanna Persdotter Larsson)^female^40.0^1^0^S^7546^9.475^
